                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2996,                 6.3021,                  1.776,                0.00083,                   0.25,                0.00074,                0.00042,                 2.5846,                 6.1749,                 2.0948,                    0.1,                      0,                      0
                      1,                 2.1464,                 6.2391,                 1.6628,                0.00083,                   0.25,                0.00075,                0.00044,                  2.584,                 6.2202,                 2.0925,                0.09909,               9.01e-05,               9.01e-05
                      2,                 2.4409,                 6.3918,                 2.1652,                0.00083,                   0.25,                0.00075,                0.00044,                 2.5845,                 6.2416,                 2.0913,                0.09816,              0.0001604,              0.0001604
                      3,                 2.5909,                 6.2161,                 2.0224,                0.00083,                   0.25,                0.00075,                0.00045,                 2.5941,                 6.2616,                 2.0929,               0.097211,              0.0002109,              0.0002109
                      4,                  2.445,                 6.0918,                 2.1679,                0.00083,                   0.25,                0.00075,                0.00044,                 2.5936,                 6.3021,                 2.0902,               0.096242,              0.0002416,              0.0002416
                      5,                 2.2931,                 5.7487,                 1.9095,                0.00083,                   0.25,                0.00076,                0.00045,                 2.5719,                 6.3434,                 2.0783,               0.095253,              0.0002525,              0.0002525
                      6,                 2.4744,                 5.7713,                 1.9918,                0.00083,                   0.25,                0.00076,                0.00045,                 2.5734,                 6.3855,                 2.0821,               0.094244,              0.0002436,              0.0002436
                      7,                 2.3924,                 6.0919,                 2.0832,                0.00083,                   0.25,                0.00075,                0.00045,                 2.5733,                 6.3853,                 2.0727,               0.093215,              0.0002149,              0.0002149
                      8,                 2.3956,                 6.0247,                 2.0182,                0.00083,                   0.25,                0.00077,                0.00046,                 2.5438,                 6.4268,                 2.0571,               0.092166,              0.0001664,              0.0001664
                      9,                 2.7053,                 6.3682,                 2.1119,                0.00083,                   0.25,                0.00075,                0.00045,                 2.5435,                 6.3929,                  2.051,               0.091098,               9.81e-05,               9.81e-05
