                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6842,                 6.0172,                  2.137,                0.00083,                   0.25,                0.00075,                0.00044,                 2.5705,                 6.1925,                  2.091,                    0.1,                      0,                      0
                      1,                 2.6529,                 5.3274,                 1.9093,                0.00083,                   0.25,                0.00076,                0.00044,                 2.5723,                 6.2242,                 2.0902,               0.099099,              9.901e-05,              9.901e-05
                      2,                 2.8131,                 6.3756,                 2.0667,                0.00083,                   0.25,                0.00077,                0.00045,                 2.5577,                 6.2265,                 2.0907,               0.098196,             0.00019604,             0.00019604
                      3,                 2.8313,                 5.7097,                 2.1264,                0.00083,                   0.25,                0.00076,                0.00044,                 2.5586,                 6.2831,                 2.0869,               0.097291,             0.00029109,             0.00029109
                      4,                 2.5271,                 5.0976,                 1.9276,                0.00083,                   0.25,                0.00077,                0.00045,                 2.5369,                 6.1599,                 2.0689,               0.096384,             0.00038416,             0.00038416
                      5,                 2.3238,                 5.8492,                 1.7168,                0.00083,                   0.25,                0.00077,                0.00045,                 2.5365,                  6.236,                  2.069,               0.095475,             0.00047525,             0.00047525
                      6,                 2.3765,                 4.9657,                 2.0172,                0.00083,                   0.25,                0.00078,                0.00046,                 2.4835,                  6.128,                 2.0346,               0.094564,             0.00056436,             0.00056436
                      7,                  2.494,                 5.6795,                 1.9697,                0.00083,                   0.25,                0.00077,                0.00046,                 2.4391,                 5.9982,                 1.9821,               0.093651,             0.00065149,             0.00065149
                      8,                 2.2256,                 5.3304,                  1.847,                0.00083,                   0.25,                0.00078,                0.00047,                 2.3628,                 5.8392,                 1.9412,               0.092737,             0.00073664,             0.00073664
                      9,                 2.4704,                 5.9626,                 2.0223,                0.00083,                   0.25,                0.00078,                0.00047,                 2.3606,                 5.8617,                 1.9397,                0.09182,             0.00081981,             0.00081981
                     10,                 2.7198,                 5.2657,                 2.0614,                0.00083,                   0.25,                0.00076,                0.00046,                 2.2896,                  5.694,                 1.9014,               0.090901,               0.000901,               0.000901
                     11,                 2.2782,                 5.4506,                  1.895,                0.00083,                   0.25,                0.00077,                0.00046,                 2.2322,                 5.5511,                 1.8981,                0.08998,             0.00098021,             0.00098021
                     12,                 2.1127,                 4.6484,                 1.7026,                0.00083,                   0.25,                0.00077,                0.00039,                 2.2147,                 5.4903,                 1.8881,               0.089057,              0.0010574,              0.0010574
                     13,                 1.7519,                 4.3163,                 1.4838,                0.00167,                    0.5,                0.00168,                0.00048,                 2.1381,                 5.3936,                 1.8533,               0.088133,              0.0011327,              0.0011327
                     14,                 2.0452,                 5.4284,                 1.7524,                0.00167,                    0.5,                0.00176,                 0.0004,                 2.0351,                 5.1607,                 1.7568,               0.087206,               0.001206,               0.001206
                     15,                 1.8446,                 4.1953,                 1.4964,                 0.0025,                   0.75,                0.00277,                0.00079,                  2.052,                 5.1829,                 1.7511,               0.086277,              0.0012772,              0.0012772
                     16,                 1.8265,                 4.1338,                 1.4883,                 0.0025,                   0.75,                0.00274,                0.00082,                 1.9238,                 5.0377,                 1.6612,               0.085347,              0.0013466,              0.0013466
                     17,                 1.7182,                 4.2366,                 1.4448,                 0.0025,                   0.75,                0.00274,                0.00082,                 1.9238,                 5.0377,                 1.6612,               0.084414,              0.0014139,              0.0014139
                     18,                 1.7401,                 4.2502,                 1.4561,                 0.0025,                   0.75,                0.00279,                0.00066,                 1.8983,                 4.9438,                 1.6684,               0.083479,              0.0014792,              0.0014792
                     19,                 1.5382,                 4.0736,                 1.3214,                 0.0025,                   0.75,                0.00279,                0.00066,                 1.8983,                 4.9438,                 1.6684,               0.082543,              0.0015426,              0.0015426
                     20,                 1.5425,                 4.3089,                 1.2866,                 0.0025,                   0.75,                0.00296,                0.00099,                 1.8701,                 4.9145,                 1.6514,               0.081604,               0.001604,               0.001604
                     21,                 1.6091,                 3.9334,                 1.4025,                 0.0025,                   0.75,                0.00296,                0.00099,                 1.8701,                 4.9145,                 1.6514,               0.080663,              0.0016634,              0.0016634
                     22,                 1.7091,                 4.5193,                  1.353,                 0.0025,                   0.75,                0.00343,                0.00133,                 1.9388,                  4.939,                 1.6821,               0.079721,              0.0017208,              0.0017208
                     23,                 1.4491,                 3.7549,                  1.209,                 0.0025,                   0.75,                0.00343,                0.00133,                 1.9388,                  4.939,                 1.6821,               0.078776,              0.0017763,              0.0017763
                     24,                  1.592,                 3.7489,                  1.356,                0.00333,                      1,                0.00497,                0.00159,                 1.9254,                 4.7386,                 1.6634,                0.07783,              0.0018298,              0.0018298
                     25,                 1.6697,                 3.8156,                 1.3668,                0.00333,                      1,                0.00497,                0.00159,                 1.9254,                 4.7386,                 1.6634,               0.076881,              0.0018812,              0.0018812
                     26,                 1.6131,                 3.7719,                 1.3151,                0.00333,                      1,                0.00559,                0.00153,                 1.9745,                 4.7345,                 1.6805,               0.075931,              0.0019308,              0.0019308
                     27,                 1.2379,                 3.4438,                 1.2182,                0.00333,                      1,                0.00559,                0.00153,                 1.9745,                 4.7345,                 1.6805,               0.074978,              0.0019783,              0.0019783
                     28,                 1.4771,                 3.3184,                 1.2769,                 0.0025,                   0.75,                0.00423,                0.00139,                 1.8707,                 4.5885,                 1.6318,               0.074024,              0.0020238,              0.0020238
                     29,                 1.3751,                 3.3058,                 1.2423,                 0.0025,                   0.75,                0.00423,                0.00139,                 1.8707,                 4.5885,                 1.6318,               0.073067,              0.0020674,              0.0020674
                     30,                 1.3549,                 3.1467,                 1.1664,                 0.0025,                   0.75,                0.00437,                 0.0022,                 1.8751,                 4.4111,                 1.5881,               0.072109,               0.002109,               0.002109
                     31,                 1.6779,                 3.1298,                 1.3689,                 0.0025,                   0.75,                0.00437,                 0.0022,                 1.8751,                 4.4111,                 1.5881,               0.071149,              0.0021486,              0.0021486
                     32,                 1.3227,                 3.2921,                 1.2613,                0.00333,                      1,                0.24993,                0.17255,                 1.9999,                 4.2961,                 1.7696,               0.070186,              0.0021862,              0.0021862
                     33,                  1.489,                 2.5094,                 1.5256,                0.00333,                      1,                0.24993,                0.17255,                 1.9999,                 4.2961,                 1.7696,               0.069222,              0.0022219,              0.0022219
                     34,                 1.8084,                 3.0538,                 1.6092,                0.00333,                      1,                0.24998,                0.14804,                 2.0377,                 4.3217,                 1.8666,               0.068256,              0.0022556,              0.0022556
                     35,                 1.4255,                 2.4131,                 1.3695,                0.00333,                      1,                0.24998,                0.14804,                 2.0377,                 4.3217,                 1.8666,               0.067287,              0.0022873,              0.0022873
                     36,                 1.5175,                 2.7271,                 1.3936,                 0.0025,                   0.75,                 0.2537,                 0.1497,                 2.0494,                 4.2468,                 1.9111,               0.066317,               0.002317,               0.002317
                     37,                  1.346,                 2.0832,                 1.2983,                 0.0025,                   0.75,                 0.2537,                 0.1497,                 2.0494,                 4.2468,                 1.9111,               0.065345,              0.0023447,              0.0023447
                     38,                 1.4281,                 2.5151,                 1.3533,                0.00333,                      1,                 0.4985,                0.19806,                 2.0524,                 4.1663,                 1.9183,                0.06437,              0.0023704,              0.0023704
                     39,                 1.5645,                 2.2129,                 1.5951,                0.00333,                      1,                 0.4985,                0.19806,                 2.0524,                 4.1663,                 1.9183,               0.063394,              0.0023942,              0.0023942
                     40,                 1.6104,                 2.3693,                 1.5154,                0.00333,                      1,                0.49852,                0.29704,                 1.8365,                 3.9825,                 1.7083,               0.062416,               0.002416,               0.002416
                     41,                 1.3428,                 1.9387,                 1.2933,                0.00333,                      1,                0.49852,                0.29704,                 1.8365,                 3.9825,                 1.7083,               0.061436,              0.0024358,              0.0024358
                     42,                 1.3085,                 2.1658,                 1.1648,                0.00333,                      1,                0.49864,                0.29659,                 1.8694,                 4.0686,                 1.7592,               0.060454,              0.0024536,              0.0024536
                     43,                 1.3058,                 2.2115,                 1.2579,                0.00333,                      1,                0.49864,                0.29659,                 1.8694,                 4.0686,                 1.7592,               0.059469,              0.0024695,              0.0024695
                     44,                 1.5814,                 2.6098,                 1.3785,                0.00333,                      1,                0.49864,                0.16141,                 1.8406,                 3.9239,                 1.6585,               0.058483,              0.0024834,              0.0024834
                     45,                 1.3622,                 1.9884,                 1.3732,                0.00333,                      1,                0.49864,                0.16141,                 1.8406,                 3.9239,                 1.6585,               0.057495,              0.0024953,              0.0024953
                     46,                 1.2247,                  1.881,                 1.2689,                0.00333,                      1,                0.50357,                0.32186,                 1.7162,                 3.7017,                 1.6554,               0.056505,              0.0025052,              0.0025052
                     47,                 1.4352,                 2.4434,                 1.4624,                0.00333,                      1,                0.50357,                0.32186,                 1.7162,                 3.7017,                 1.6554,               0.055513,              0.0025131,              0.0025131
                     48,                 1.6965,                 2.1858,                 1.3665,                0.00333,                      1,                0.74682,                0.37169,                 1.7849,                 3.5734,                 1.6327,               0.054519,               0.002519,               0.002519
                     49,                 1.2238,                 1.8687,                 1.2193,                0.00333,                      1,                0.74682,                0.37169,                 1.7849,                 3.5734,                 1.6327,               0.053523,               0.002523,               0.002523
                     50,                 1.4068,                 1.8992,                 1.1584,                0.00333,                      1,                0.49914,                0.32206,                 1.7853,                  3.547,                 1.6846,               0.052525,               0.002525,               0.002525
                     51,                 1.1878,                 1.8183,                 1.2764,                0.00333,                      1,                0.49914,                0.32206,                 1.7853,                  3.547,                 1.6846,               0.051525,               0.002525,               0.002525
                     52,                 1.2258,                 2.1429,                 1.2901,                0.00333,                      1,                0.49914,                0.32206,                 1.7853,                  3.547,                 1.6846,               0.050523,               0.002523,               0.002523
                     53,                 1.1367,                  1.674,                 1.1641,                0.00333,                      1,                0.50797,                0.25161,                 1.9617,                 3.4301,                 1.8051,               0.049519,              0.0025191,              0.0025191
                     54,                 1.3454,                 1.9991,                 1.2391,                0.00333,                      1,                0.50797,                0.25161,                 1.9617,                 3.4301,                 1.8051,               0.048513,              0.0025132,              0.0025132
                     55,                 1.2029,                 1.3839,                 1.1844,                0.00333,                      1,                0.50797,                0.25161,                 1.9617,                 3.4301,                 1.8051,               0.047505,              0.0025053,              0.0025053
                     56,                 1.1282,                  1.847,                 1.1048,                0.00333,                      1,                0.50128,                0.29885,                 1.8661,                 3.4361,                  1.773,               0.046495,              0.0024954,              0.0024954
